Thread 1, 14:15:43.412669900, 0
Thread 2, 14:15:43.651246900, 1
Thread 1, 14:15:43.682150200, 1
Thread 1, 14:15:43.935271500, 2
Thread 3, 14:15:44.154683700, 3
Thread 2, 14:15:44.154683700, 3
Thread 1, 14:15:44.188592400, 3
Thread 1, 14:15:44.453907700, 4
Thread 2, 14:15:44.658465300, 5
Thread 1, 14:15:44.706121100, 5
Thread 1, 14:15:44.969184700, 6
Thread 3, 14:15:45.155897900, 7
Thread 2, 14:15:45.172254700, 7
Thread 1, 14:15:45.233594300, 7
Thread 1, 14:15:45.485076600, 8
Thread 2, 14:15:45.686206600, 9
Thread 1, 14:15:45.748974800, 9
Thread 1, 14:15:46.014389300, 10
Thread 3, 14:15:46.170535400, 11
Thread 2, 14:15:46.201522300, 11
Thread 1, 14:15:46.279370700, 11
Thread 1, 14:15:46.543584100, 12
Thread 2, 14:15:46.713261800, 13
Thread 1, 14:15:46.806172100, 13
Thread 1, 14:15:47.072235700, 14
Thread 3, 14:15:47.180904, 15
Thread 2, 14:15:47.227195700, 15
Thread 1, 14:15:47.334949100, 15
Thread 1, 14:15:47.599995100, 16
Thread 2, 14:15:47.738507100, 17
Thread 1, 14:15:47.861444200, 17
Thread 1, 14:15:48.126207900, 18
Thread 3, 14:15:48.188249900, 19
Thread 2, 14:15:48.249627200, 19
Thread 1, 14:15:48.390952400, 19
Thread 1, 14:15:48.654316200, 20
Thread 2, 14:15:48.764498100, 21
Thread 1, 14:15:48.906709500, 21
Thread 1, 14:15:49.169745700, 22
Thread 3, 14:15:49.201746800, 23
Thread 2, 14:15:49.264903700, 23
Thread 1, 14:15:49.435034100, 23
Thread 1, 14:15:49.699403400, 24
Thread 2, 14:15:49.777188600, 25
Thread 1, 14:15:49.963195400, 25
Thread 3, 14:15:50.215101, 26
Thread 1, 14:15:50.215101, 26
Thread 2, 14:15:50.279107100, 27
Thread 1, 14:15:50.479831400, 27
Thread 1, 14:15:50.743658700, 28
Thread 2, 14:15:50.789447800, 29
Thread 1, 14:15:50.996785700, 29
Thread 3, 14:15:51.228019800, 30
Thread 1, 14:15:51.259197400, 30
Thread 2, 14:15:51.290445100, 31
Thread 1, 14:15:51.523315500, 31
Thread 1, 14:15:51.774925800, 32
Thread 2, 14:15:51.804814300, 33
Thread 1, 14:15:52.038579400, 33
Thread 3, 14:15:52.242712900, 34
Thread 1, 14:15:52.290818600, 34
Thread 2, 14:15:52.319950400, 35
Thread 1, 14:15:52.553739600, 35
Thread 1, 14:15:52.818753100, 36
Thread 2, 14:15:52.833619400, 37
Thread 1, 14:15:53.071132200, 37
Thread 3, 14:15:53.257644300, 38
Thread 1, 14:15:53.321634300, 38
Thread 2, 14:15:53.337601700, 39
Thread 1, 14:15:53.573674200, 39
Thread 1, 14:15:53.826719600, 40
Thread 2, 14:15:53.838714500, 41
Thread 1, 14:15:54.085394600, 41
Thread 3, 14:15:54.270310200, 42
Thread 1, 14:15:54.349511200, 42
Thread 2, 14:15:54.349511200, 43
Thread 1, 14:15:54.600943100, 43
Thread 1, 14:15:54.851158700, 44
Thread 2, 14:15:54.851158700, 45
Thread 1, 14:15:55.101946300, 45
Thread 3, 14:15:55.273640400, 46
Thread 1, 14:15:55.365419900, 46
Thread 2, 14:15:55.365419900, 46
Thread 1, 14:15:55.616246100, 47
Thread 2, 14:15:55.866672900, 48
Thread 1, 14:15:55.868570, 48
Thread 1, 14:15:56.130138400, 49
Thread 3, 14:15:56.284536600, 50
Thread 2, 14:15:56.369066400, 50
Thread 1, 14:15:56.393996200, 50
Thread 1, 14:15:56.646235800, 51
Thread 2, 14:15:56.877562600, 52
Thread 1, 14:15:56.908365300, 52
Thread 1, 14:15:57.173950900, 53
Thread 3, 14:15:57.299030, 54
